"Absolute Time","Hits"
"02:55:59","0.672"
"02:57:03","1.188"
"02:58:07","1.719"
"02:59:11","2.141"
"03:00:15","1.844"
"03:01:19","1.703"
"03:02:23","1.531"
"03:03:27","1.625"
"03:04:31","1.531"
"03:05:35","1.625"
"03:06:39","1.703"
"03:07:43","1.516"
"03:08:47","1.594"
"03:09:51","1.578"
"03:10:55","1.5"
"03:11:59","1.813"
"03:13:03","1.547"
"03:14:07","1.578"
"03:15:11","1.563"
"03:16:15","1.563"
"03:17:19","1.688"
"03:18:23","1.719"
"03:19:27","1.359"
"03:20:31","1.703"
"03:21:35","1.578"
"03:22:39","1.563"
"03:23:43","1.688"
"03:24:47","1.469"
"03:25:51","1.703"
"03:26:55","1.609"
"03:27:59","1.484"
"03:29:03","1.688"
"03:30:07","1.578"
"03:31:11","0.891"
"03:32:15","0.304"
