"Relative Time","Throughput"
"00:00","3289.813"
"01:04","5810.906"
"02:08","8517.094"
"03:12","10456.91"
"04:16","8768.063"
"05:20","7884.016"
"06:24","6922.953"
"07:28","7504.875"
"08:32","7061.578"
"09:36","7576.031"
"10:40","7688.609"
"11:44","7183.828"
"12:48","7265.125"
"13:52","7500.359"
"14:56","6843.891"
"16:00","8087.281"
"17:04","7377.156"
"18:08","7280.734"
"19:12","7397.141"
"20:16","7074.75"
"21:20","7686.828"
"22:24","7865.266"
"23:28","6276.688"
"24:32","7953.609"
"25:36","7360.953"
"26:40","7034.672"
"27:44","7814.984"
"28:48","6873.438"
"29:52","7807.359"
"30:56","7440.641"
"32:00","6702.516"
"33:04","7915.578"
"34:08","7094.813"
"35:12","3521.734"
"36:16","1033.609"
