"Transaction Name","Pass","Fail"
"JPetStore_Browsecategories_T01_Launch","25","0"
"JPetStore_Browsecategories_T02_Selectcategory","591","0"
"JPetStore_Browsecategories_T03_SelectProduct","591","0"
"JPetStore_Login_T01_Launch","179","0"
"JPetStore_Login_T02_Login","179","0"
"JPetStore_Login_T03_Signout","179","0"
"JPetStore_PlaceOrder_T01_Launch","5","0"
"JPetStore_PlaceOrder_T02_Login","5","0"
"JPetStore_PlaceOrder_T03_Selectcategory","65","0"
"JPetStore_PlaceOrder_T04_SelectProduct","65","0"
"JPetStore_PlaceOrder_T05_ViewItem","65","0"
"JPetStore_PlaceOrder_T06_AddtoCart","10","55"
"JPetStore_PlaceOrder_T07_checkout","10","0"
"JPetStore_PlaceOrder_T08_PaymentDetails","10","0"
"JPetStore_PlaceOrder_T09_PlaceOrder","10","0"
"JPetStore_PlaceOrder_T10_Signout","5","0"
"JPetStore_SearchProduct_T01_Launch","13","0"
"JPetStore_SearchProduct_T02_Login","13","0"
"JPetStore_SearchProduct_T03_Selectcategory","326","0"
"JPetStore_SearchProduct_T04_SelectProduct","326","0"
"JPetStore_SearchProduct_T05_ViewItem","326","0"
"JPetStore_SearchProduct_T06_Signout","13","0"
