"Absolute Time","Error -27721"
"03:02:23","0"
"03:03:27","0"
"03:04:31","0"
"03:05:35","0"
"03:06:39","0"
"03:07:43","0"
"03:08:47","0.078"
"03:09:51","0"
"03:10:55","0.031"
"03:11:59","0.047"
"03:13:03","0"
"03:14:07","0.047"
"03:15:11","0.031"
"03:16:15","0"
"03:17:19","0.047"
"03:18:23","0.031"
"03:19:27","0"
"03:20:31","0.078"
"03:21:35","0"
"03:22:39","0.031"
"03:23:43","0.047"
"03:24:47","0"
"03:25:51","0.047"
"03:26:55","0.031"
"03:27:59","0"
"03:29:03","0.047"
"03:30:07","0.031"
"03:31:11","0"
"03:32:15","0.078"
"03:33:19","0"
