"Relative Time","Errors per Second:Error -27721","Controller and Load Generators Resources:CPU Usage:drgirija"
"00:00","0","47.111"
"01:04","0","36.366"
"02:08","0","37.937"
"03:12","0","39.499"
"04:16","0","34.551"
"05:20","0","36.154"
"06:24","0.078","33.321"
"07:28","0","33.699"
"08:32","0.031","48.34"
"09:36","0.047","60.722"
"10:40","0","52.087"
"11:44","0.047","50.52"
"12:48","0.031","44.49"
"13:52","0","50.143"
"14:56","0.047","38.825"
"16:00","0.031","38.516"
"17:04","0","33.739"
"18:08","0.078","35.815"
"19:12","0","35.914"
"20:16","0.031","37.801"
"21:20","0.047","34.053"
"22:24","0","35.031"
"23:28","0.047","36.709"
"24:32","0.031","29.908"
"25:36","0","25.953"
"26:40","0.047","37.579"
"27:44","0.031","33.384"
"28:48","0","51.551"
"29:52","0.078","47.355"
"30:56","0","47.288"
"32:00","0.031","41.302"
"33:04","0.047","41.74"
"34:08","0","40.158"
"35:12","0.047","46.755"
"36:16","0.087","64.414"
