"Relative Time","Hits"
"00:00","0.656"
"01:04","1.188"
"02:08","1.672"
"03:12","2.203"
"04:16","2.094"
"05:20","2.141"
"06:24","2.094"
"07:28","1.984"
"08:32","1.922"
"09:36","2.141"
"10:40","2.141"
"11:44","2.078"
"12:48","1.859"
"13:52","2.063"
"14:56","2.141"
"16:00","2.203"
"17:04","1.859"
"18:08","1.969"
"19:12","2.063"
"20:16","2.125"
"21:20","2.016"
"22:24","2.172"
"23:28","1.922"
"24:32","1.859"
"25:36","2.031"
"26:40","2.156"
"27:44","2.203"
"28:48","1.922"
"29:52","1.906"
"30:56","2.125"
"32:00","2.109"
"33:04","1.922"
"34:08","1.984"
"35:12","1.016"
"36:16","0.409"
