"Relative Time","Throughput"
"00:00","732.125"
"01:04","1457.406"
"02:08","2265.047"
"03:12","3147.063"
"04:16","2937.234"
"05:20","3167.5"
"06:24","3295.016"
"07:28","3106.781"
"08:32","2949.109"
"09:36","2966.234"
"10:40","2949.359"
"11:44","3121.828"
"12:48","2969.016"
"13:52","3192.5"
"14:56","3036.406"
"16:00","2997.328"
"17:04","2891.844"
"18:08","3026.406"
"19:12","3042.813"
"20:16","3043.844"
"21:20","3198.703"
"22:24","3002.609"
"23:28","2945.484"
"24:32","2757.969"
"25:36","3153.813"
"26:40","3124.609"
"27:44","3190.047"
"28:48","2962.188"
"29:52","3118.984"
"30:56","2921.469"
"32:00","2930.578"
"33:04","2975.219"
"34:08","3345.25"
"35:12","1297.438"
"36:16","0"
