"Transaction Name","Pass","Fail"
"JPetStore_Browsecategories_T01_Launch","25","0"
"JPetStore_Browsecategories_T02_Selectcategory","590","0"
"JPetStore_Browsecategories_T03_SelectProduct","590","0"
"JPetStore_Login_T01_Launch","176","0"
"JPetStore_Login_T02_Login","176","0"
"JPetStore_Login_T03_Signout","176","0"
"JPetStore_PlaceOrder_T01_Launch","5","0"
"JPetStore_PlaceOrder_T02_Login","5","0"
"JPetStore_PlaceOrder_T03_Selectcategory","134","0"
"JPetStore_PlaceOrder_T04_SelectProduct","134","0"
"JPetStore_PlaceOrder_T05_ViewItem","134","0"
"JPetStore_PlaceOrder_T06_AddtoCart","134","0"
"JPetStore_PlaceOrder_T07_checkout","134","0"
"JPetStore_PlaceOrder_T08_PaymentDetails","134","0"
"JPetStore_PlaceOrder_T09_PlaceOrder","132","2"
"JPetStore_PlaceOrder_T10_Signout","5","0"
"JPetStore_SearchProduct_T01_Launch","13","0"
"JPetStore_SearchProduct_T02_Login","13","0"
"JPetStore_SearchProduct_T03_Selectcategory","328","0"
"JPetStore_SearchProduct_T04_SelectProduct","328","0"
"JPetStore_SearchProduct_T05_ViewItem","328","0"
"JPetStore_SearchProduct_T06_Signout","13","0"
