"Relative Time","JPetStore_Browsecategories_T01_Launch","JPetStore_Browsecategories_T02_Selectcategory","JPetStore_Browsecategories_T03_SelectProduct","JPetStore_Login_T01_Launch","JPetStore_Login_T02_Login","JPetStore_Login_T03_Signout","JPetStore_PlaceOrder_T01_Launch","JPetStore_PlaceOrder_T02_Login","JPetStore_PlaceOrder_T03_Selectcategory","JPetStore_PlaceOrder_T04_SelectProduct","JPetStore_PlaceOrder_T05_ViewItem","JPetStore_PlaceOrder_T06_AddtoCart","JPetStore_PlaceOrder_T07_checkout","JPetStore_PlaceOrder_T08_PaymentDetails","JPetStore_PlaceOrder_T09_PlaceOrder","JPetStore_PlaceOrder_T10_Signout","JPetStore_SearchProduct_T01_Launch","JPetStore_SearchProduct_T02_Login","JPetStore_SearchProduct_T03_Selectcategory","JPetStore_SearchProduct_T04_SelectProduct","JPetStore_SearchProduct_T05_ViewItem","JPetStore_SearchProduct_T06_Signout"
"00:00","0.169","0.125","0.093","0.098","0.206","0.061","0.047","0.437","0.036","0.057","0.096","0.129","0.048","0.061","0.155","","0.151","0.178","0.055","0.022","0.065",""
"01:04","0.051","0.042","0.05","0.019","0.033","0.034","0.042","0.052","0.057","0.048","0.067","0.083","0.044","0.059","0.11","","0.062","0.063","0.037","0.048","0.069",""
"02:08","0.026","0.03","0.037","0.018","0.025","0.018","0.029","0.067","0.018","0.037","0.037","0.075","0.051","0.042","0.089","","0.051","0.042","0.026","0.046","0.046",""
"03:12","0.028","0.022","0.023","0.012","0.019","0.013","0.032","0.066","0.019","0.03","0.028","0.054","0.029","0.024","0.041","","0.034","0.029","0.029","0.041","0.032",""
"04:16","","0.018","0.03","0.02","0.03","0.031","","","0.017","0.032","0.016","0.048","0.022","0.018","0.057","","","0.013","0.016","0.024","0.041",""
"05:20","","0.023","0.024","0.022","0.03","0.018","","","0.013","0.04","0.018","0.042","0.026","0.031","0.061","","","","0.019","0.025","0.078",""
"06:24","","0.034","0.04","0.022","0.058","0.03","","","0.032","0.046","0.036","0.109","0.033","0.066","0.063","","","","0.029","0.035","0.046",""
"07:28","","0.029","0.044","0.027","0.036","0.035","","","0.041","0.035","0.032","0.079","0.041","0.066","0.084","","","","0.025","0.024","0.041",""
"08:32","","0.034","0.039","0.031","0.039","0.053","","","0.041","0.042","0.021","0.047","0.029","0.052","0.031","","","","0.026","0.029","0.05",""
"09:36","","0.03","0.036","0.028","0.037","0.038","","","0.018","0.021","0.026","0.074","0.046","0.067","0.082","","","","0.018","0.029","0.033",""
