"Relative Time","% Disk Time (PhysicalDisk _Total):localhost","% Processor Time (Processor 0):localhost","% Processor Time (Processor 1):localhost","% Processor Time (Processor 2):localhost","% Processor Time (Processor 3):localhost","Available MBytes (Memory):localhost"
"00:00","30.643","32.079","28.467","30.684","32.676","42.9"
"01:04","10.925","16.384","14.35","16.582","17.001","47.319"
"02:08","7.21","13.765","11.707","14.437","15.229","42.891"
"03:12","10.264","23.166","18.765","21.675","22.316","38.638"
"04:16","27.285","19.823","18.311","19.7","19.848","35.795"
"05:20","43.1","26.851","25.338","25.885","30.324","45.214"
"06:24","14.406","43.482","38.849","41.237","42.981","45.748"
"07:28","4.051","32.32","30.879","33.931","35.989","44.31"
"08:32","16.221","35.649","34.258","34.307","37.903","38.473"
"09:36","6.825","43.362","38.415","39.291","42.936","42.514"
"10:40","2.728","15.976","15.356","15.626","16.894","66.371"
"11:44","14.536","33.281","29.367","32.763","34.053","61.832"
"12:48","4.25","29.11","23.355","27.665","29.25","70.343"
"13:52","4.339","25.617","22.591","25.691","25.813","72.024"
"14:56","6.152","26.632","21.025","25.216","26.582","68.177"
"16:00","21.641","37.419","32.924","36.828","36.05","64.138"
"17:04","5.786","16.781","14.327","15.393","15.342","46.533"
"18:08","3.821","23.323","19.726","23.818","22.577","43.209"
"19:12","11.778","36.494","32.378","35.381","34.506","41.348"
"20:16","3.259","20.8","18.07","20.747","19.261","68.79"
"21:20","8.285","38.377","36.021","37.533","36.789","69.373"
"22:24","7.911","30.746","28.144","29.73","29.161","68.295"
"23:28","3.099","24.726","22.62","25.768","22.992","72.776"
"24:32","2.154","16.863","12.276","13.414","12.103","77.15"
"25:36","3.734","18.067","13.877","15.297","15.131","76.79"
"26:40","3.807","17.527","14.152","17.579","14.323","68.081"
"27:44","11.359","16.763","15.893","17.135","16.018","61.536"
"28:48","2.447","14.428","12.464","14.002","14.189","68.833"
"29:52","7.284","18.505","14.813","18.504","18.976","72.271"
"30:56","2.073","15.173","12.149","15.1","15.148","98.7"
"32:00","1.583","11.546","10.076","11.949","12.373","99.576"
"33:04","3.532","15.852","12.135","15.554","16.301","95.771"
"34:08","8.065","26.427","25.556","26.798","27.692","69.423"
"35:12","5.102","17.499","14.373","17.05","16.622","70.605"
"36:16","1.811","11.666","8.976","10.886","9.414","69.738"
